Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),APR26 progress (%),Sector
193,612855,Transmission System for Evacuation of Power from Potential Energy Renewable Zone in Khavda Area of Gujarat under Ph-IV [7GW] Part E2,Power Grid Corporation of India Limited [POWERGRID],Gujarat,05/2024,05/2024,05/2026,06/2026,697.0,697.0,369.41,56.0,Aviation & Aviation Infrastructure
194,615342,Augmentation of Transformation Capacity at jam Khambhaliya PS [GIS] [SPV Name POWERGRID Jam Khambhaliya Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],Gujarat,10/2024,10/2024,07/2026,04/2027,329.0,329.0,36.19,13.5,Aviation & Aviation Infrastructure
195,615343,Provision of Dynamic Reactive Compensation at Khavda pooling Station 1 [KPS1] and Khavda Pooling station 3 [KPS3],Power Grid Corporation of India Limited [POWERGRID],Gujarat,11/2024,11/2024,11/2026,-,501.0,501.0,25.05,6.0,Aviation & Aviation Infrastructure
196,615345,Transmission System for Evacuation of Power from Potential Renewable Energy Zone in Khavda area of Gujarat under Phase-IV [7GW] Part B [SPV Name POWERGRID South Olpad Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],Gujarat,10/2024,10/2024,10/2026,10/2027,4766.0,4766.0,1239.16,27.59,Aviation & Aviation Infrastructure
197,617069,Augmentation of Transformation Capacity at KPS1 [GIS] and KPS2 [GIS] [Phase-V Part B1 and Part B2 Scheme] [SPV Name- POWERGRID KPS1 and 2 Augmentation Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],Gujarat,02/2025,02/2025,02/2027,-,466.0,466.0,93.2,22.5,Aviation & Aviation Infrastructure
198,617182,Augmentation of Banaskantha [Raghanesda] PS [GIS] [POWERGRID Banaskantha Transco Limited],Power Grid Corporation of India Limited [POWERGRID],Gujarat,03/2025,03/2025,03/2027,-,172.0,172.0,58.48,36.0,Aviation & Aviation Infrastructure
199,617391,Augmentation of Transformation Capacity at Bhuj-II PS [GIS],Power Grid Corporation of India Limited [POWERGRID],Gujarat,02/2025,02/2025,11/2026,06/2027,488.29,488.29,5.86,1.5,Aviation & Aviation Infrastructure
200,617405,Jamnagar Transmission Limited,Adani Transmission Limited,Gujarat,,10/2024,10/2026,-,4000.0,4000.0,537.0,18.0,Aviation & Aviation Infrastructure
201,617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,Power Grid Corporation of India Limited [POWERGRID],Gujarat,03/2025,03/2025,12/2026,06/2027,581.74,581.74,7.08,1.5,Aviation & Aviation Infrastructure
202,619026,KPSIII HVDC Transmission Limited,Adani Transmission Limited,Gujarat,,12/2025,12/2029,-,19000.0,19000.0,20.0,1.0,Aviation & Aviation Infrastructure
203,619029,Transmission System for Reliable Power Supply to Dholera,Power Grid Corporation of India Limited [POWERGRID],Gujarat,09/2024,09/2024,03/2026,12/2026,319.42,319.42,51.1,18.0,Aviation & Aviation Infrastructure
204,619049,Khavda IVA Power Transmission Limited,Adani Transmission Limited,Gujarat,08/2024,08/2024,08/2026,-,4500.0,4500.0,2263.7,58.0,Aviation & Aviation Infrastructure
205,617179,Transmission Scheme for evacuation of Power from Ratle HEP [850 MW] & kiru [624 MW] Part B,Power Grid Corporation of India Limited [POWERGRID],Jammu and Kashmir,07/2024,07/2024,07/2026,06/2027,218.6,218.6,3.72,1.7,Aviation & Aviation Infrastructure
206,617326,Implementation of Transmission Systems in the State of Jharkhand consisting of 400/220/132/33 kV transmission lines and substations under Jharkhand Consultancy Project,Power Grid Corporation of India Limited [POWERGRID],Jharkhand,02/2012,02/2012,03/2026,08/2026,1842.25,1842.25,1648.05,96.0,Aviation & Aviation Infrastructure
207,612140,Transmission Scheme for Integration of Renewable Energy Zone [Phase II] in Koppal II [Phase A&B] and gadag II[Phase A] in Karnataka [POWERGRID KOPPAL GADAG TRANSMISSION LIMITED],Power Grid Corporation of India Limited [POWERGRID],Karnataka,12/2023,12/2023,12/2025,09/2026,4445.0,4445.0,3733.8,86.0,Aviation & Aviation Infrastructure
208,616672,System Strengthening at Koppal-II and GadagII for integration of RE generation projects [SPV Name POWERGRID Koppal Gadag Augmentation Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],Karnataka,01/2025,01/2025,06/2027,-,1354.0,1354.0,270.8,22.5,Aviation & Aviation Infrastructure
209,617068,Augmentation of Transformation Capacity by 3x500 MVA 400/220 KV ICTS [6th-8th] and 1x1500 MVA 765/400 KV ICT [4th] at Bidar PS [SPV Name- POWERGRID Bidar Augmentation Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],Karnataka,02/2025,02/2025,06/2027,-,288.0,288.0,20.16,7.2,Aviation & Aviation Infrastructure
210,617184,Transmission Scheme for integration of Davanagere/ Chitradurga and Bellary REZ in Karnataka [POWERGRID Chitradurga Bellary REZ Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],Karnataka,03/2025,03/2025,09/2027,-,3453.0,3453.0,414.36,13.41,Aviation & Aviation Infrastructure
211,617803,Transmission System Strengthening at Davanagere for Integration of RE Generation [SPV Name - POWERGRID Davanagere Power Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],Karnataka,09/2025,09/2025,09/2027,-,379.0,379.0,17.06,2.5,Aviation & Aviation Infrastructure
212,619228,Transmission System Strengthening for integration of additional RE Potential at Davanagere [0.25 GW] and Bellary [2.75 GW],Power Grid Corporation of India Limited [POWERGRID],Karnataka,02/2026,02/2026,02/2028,-,1111.0,1111.0,5.5,1.0,Aviation & Aviation Infrastructure
213,619028,Augmentation of 1x500 MVA 400/220kV ICT [3rd] at Thrissur VSC HVDC Station in Kerala,Power Grid Corporation of India Limited [POWERGRID],Kerala,08/2025,08/2025,08/2027,-,173.14,173.14,2.08,1.5,Aviation & Aviation Infrastructure
214,615344,Transmission System for Evacuation of Power from Rajasthan REZ Ph-IV [Part-2 5.5GW] [Jaisalmer/Barmer Complex] Part H1 [POWERGRID KURAWAR TRANSMISSION LIMITED],Power Grid Corporation of India Limited [POWERGRID],Madhya Pradesh,10/2024,10/2024,10/2026,06/2027,3674.0,3674.0,1396.12,39.24,Aviation & Aviation Infrastructure
215,615346,Transmission System for Evacuation of Power from Rajasthan REZ Ph-IV [Part-2 5.5 GW] [Jaisalmer/Barmer Complex] Part C [SPV Name POWERGRID Mandsaur Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],Madhya Pradesh,08/2024,08/2024,08/2026,02/2027,2708.0,2708.0,1489.4,57.8,Aviation & Aviation Infrastructure
216,617272,Implementation of LILO of both circuits of 400KV vindhyachal PS-Sasan D/C Line at Hindalco Switchyard,Power Grid Corporation of India Limited [POWERGRID],Madhya Pradesh,06/2024,06/2024,12/2026,-,370.0,370.0,114.7,35.03,Aviation & Aviation Infrastructure
217,617279,Transmission System for evacuation of power from Mahan Energen Limited Generating Station in Madhya Pradesh [SPV Name - POWERGRID MEL Power Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],Madhya Pradesh,06/2025,06/2025,12/2027,-,558.0,558.0,50.22,9.75,Aviation & Aviation Infrastructure
218,617802,Augmentation of Transformation Capacity and Implementation of Line Bays at Mandsaur S/S for RE Interconnection [SPV Name- POWERGRID Mandsaur I RE Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],Madhya Pradesh,10/2025,10/2025,03/2028,-,319.0,319.0,12.76,2.5,Aviation & Aviation Infrastructure
219,619024,Mahan Transmission Limited,Adani Transmission Limited,Madhya Pradesh,03/2025,03/2025,04/2027,-,3125.32,3125.32,286.79,17.0,Aviation & Aviation Infrastructure
220,611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,Power Grid Corporation of India Limited [POWERGRID],Maharashtra,11/2023,11/2023,07/2025,04/2026,224.41,224.41,206.45,94.8,Aviation & Aviation Infrastructure
221,619027,WRNES Talegaon Power Transmission Limited,Adani Transmission Limited,Maharashtra,,05/2025,01/2028,-,2000.0,2000.0,36.0,5.0,Aviation & Aviation Infrastructure
222,619227,Network Expansion Scheme in Maharashtra for removal of Transmission constraints in Pune Region-I [765/400kV AIS Pune East],Power Grid Corporation of India Limited [POWERGRID],Maharashtra,03/2026,03/2026,03/2028,-,1420.0,1420.0,2.84,0.5,Aviation & Aviation Infrastructure
223,617185,Transmission System for Integration of Kurnool-IV REZ Phase-I [for 4.5 GW] [POWERGRID Kurnool-IV Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],Multi-States (Andhra Pradesh Karnataka),03/2025,03/2025,03/2027,09/2027,5550.0,5550.0,943.5,17.86,Aviation & Aviation Infrastructure
224,617806,Transmission System for Integration of Ananthapur 2 REZ Phase 1 for 4.5 GW. SPV Name Anantapuram 2 REZ Transmission Ltd,Sterlite Power,Multi-States (Andhra Pradesh Karnataka),08/2024,03/2025,03/2027,-,4535.99,4535.99,677.57,40.0,Aviation & Aviation Infrastructure
