Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),MAY25 progress (%),Sector
1264,N24001559,2L PS SRIGANGANAGAR TO RAISINGHNAGAR (DESIGN CHAINAGE -0.500 KM TO DESIGN CHAINAGE 101.000 KM) (PACK,NHAI,LADAKH,9-2021,6/2024,May-2025,672.35,-,328.24,99.50,PETROLEUM
1265,N24001563,DEOGARH (NEAR DHANDHANIYA)- RAJASTHAN/GUJARAT BORDER (PHASE-I) (AJ/DRGB-PACKAGE-6),NHAI,LADAKH,10-2019,8/2023,Jun-2025,846.59,-,167.25,99.25,PETROLEUM
1266,N24001564,DEOGARH (NEAR DHANDHANIYA)- RAJASTHAN/GUJARAT BORDER (PHASE-I) (AJ/DRGB-PACKAGE-7),NHAI,LADAKH,10-2019,7/2023,Jun-2025,662.08,-,124.06,96.50,PETROLEUM
1267,N24001567,DELHI-VADODARA GREENFIELD ALIGNMENT (NH-148N) (PKG-10) (CH. 292.950 TO CH. 319.400) [END OF INTERCHA,NHAI,LADAKH,11-2019,10/2022,Jun-2025,"1,272.97",-,512.05,86.81,PETROLEUM
1268,N24001568,DELHI-VADODARA GREENFIELD ALIGNMENT (NH-148N) (PKG-14) (CH. 388.420 TO CH. 419.000) [JUNCTION WITH N,NHAI,LADAKH,11-2019,5/2023,Jun-2025,"1,119.35",-,"1,447.44",99.80,PETROLEUM
1269,N24001573,DELHI-VADODARA GREENFIELD ALIGNMENT (NH-148N) (PKG-09) (CH. 247.310 TO CH. 292.950) [JUNCTION WITH M,NHAI,LADAKH,11-2019,12/2022,Jun-2025,"1,658.06",-,157.39,99.90,PETROLEUM
1270,N24001612,DELHI-VADODARA GREENFIELD ALIGNMENT (NH-148N) (PKG-15) (CH. 419.000 TO CH.427.300) [JUNCTION WITH NH,NHAI,LADAKH,7-2020,1/2024,Dec-2025,"1,788.69",-,960.26,76.81,PETROLEUM
1271,N24001866,"CONSTRUCTION OF TWO LANE WITH PAVED SHOULDER FOR FATEHPUR BYPASS, MANDAWA BYPASS AND JHUNJHUNU BYPAS",MoRTH,LADAKH,3-2022,8/2024,-,186.29,-,142.69,90.00,PETROLEUM
1272,N24001867,UPGRADATION OF TWO LANE PAVED SHOULDER FROM SHAHPURA TO THANAGAZI OF NH-248A ON EPC MODE IN THE STAT,MoRTH,LADAKH,3-2022,7/2024,-,174.34,-,118.08,90.00,PETROLEUM
1273,N24001868,Sagwara Bypass and Garhi- Partapur Bypass of NH-927A in the State of Rajasthan.,MoRTH,LADAKH,3-2022,8/2025,-,187.65,-,117.57,90.00,PETROLEUM
1274,N24001927,UP-GRADATION TO 2 LANE WITH PAVED SHOULDER FROM CHARBHUJA AT DESIGN KM 0.00 (EXISTING KM 150.00) TO,MoRTH,LADAKH,2-2022,9/2025,-,838.43,-,455.87,99.00,PETROLEUM
1275,N24001928,CONSTRUCTION OF 2 LANE WITH PAVED SHOULDER NORTHERN BYPASS PHASE-II OF KOTA CITY FROM DESIGN CHAINAG,MoRTH,LADAKH,3-2022,4/2025,-,317.74,-,136.23,12.50,PETROLEUM
1276,N24002058,ADDITIONAL STRUCTURES ON 6LGURGAON- JAIPUR SECTION OF NH-48 BETWEEN KM 42.700 TO KM 273.00,NHAI,LADAKH,8-2022,6/2024,Jun-2025,409.64,-,238.22,77.10,PETROLEUM
1277,N24002167,UPGRADATION TO 2 LANE WITH PAVED SHOULDER OF HANUMANGARH TO KENCHIYAN OF NH 54 ON EPC MODE IN THE ST,MoRTH,LADAKH,3-2024,10/2026,-,334.64,-,128.00,50.00,PETROLEUM
1278,N24002168,UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM NEECHLI ODEN (NATHDWARA) AT DESIGN KM 88.800 TO BHATE,MoRTH,LADAKH,3-2023,10/2026,-,606.61,-,118.00,20.00,PETROLEUM
1279,N04000110,PAKYONG AIRPORT- WIDENING OF BASIC STRIP AT WESTERN SIDE OF RUNWAY CHAINAGE 80M TO 920M I/C SLOPE ST,AAI,LADAKH,11-2023,6/2026,-,323.26,-,24.99,12.00,"CIVIL
AVIATION"
1280,N44000002,"CONSTRUCTION OF SIKKIM UNIVERSITY CAMPUS PHASE-I, PACKAGE -II AT YANGANG SOUTH SIKKIM",Sikkim Universi,LADAKH,8-2020,1/2025,-,314.06,-,157.24,80.00,DEPARTMENT
1281,N18000325,TEESTA VI HE PROJECT,NHPC,LADAKH,3-2019,3/2024,-,"5,748.04",-,"4,341.50",67.67,POWER
1282,N18000326,RANGIT IV HE PROJECT,NHPC,LADAKH,3-2021,5/2024,-,938.29,-,"1,486.30",88.51,POWER
1283,N22000102,"SEVOK RANGPO, NEFR",NFR,LADAKH,4-2008,5/2015,Dec-2027,"7,876.92","11,963.43","8,569.25",80.00,RAILWAYS
1284,N24000767,CONSTRUCTION OF 2-LANE WITH PAVED SHOULDER INCLUDING GEOMETRIC IMPROVEMENT FROM KM 0.000 TO KM 16.00,NHIDCL,LADAKH,3-2017,4/2022,May-2022,375.80,-,288.56,96.55,RAILWAYS
1285,N24000768,CONSTRUCTION OF 2-LANE WITH PAVED SHOULDER INCLUDING GEOMETRIC IMPROVEMENT FROM KM 16.000 TO KM 32.5,NHIDCL,LADAKH,11-2017,10/2020,Aug-2023,290.05,-,218.36,100.00,RAILWAYS
1286,N24001251,CONSTUCTION/UPGRADATION OF EXISTING HIGHWAY TO 2 LANE WITH PAVED SHOULDER FROM KM 0.00 TO KM 13.00 N,NHIDCL,LADAKH,3-2019,4/2022,-,402.94,-,247.12,76.54,RAILWAYS
1287,N24001252,CONSTUCTION/UPGRADATION OF EXISTING HIGHWAY TO 2 LANE WITH PAVED SHOULDER FROM KM 13.00 TO KM 25.600,NHIDCL,LADAKH,8-2020,4/2023,Nov-2024,295.97,-,249.80,95.66,RAILWAYS
1288,N24001254,CONSTUCTION/UPGRADATION OF EXISTING HIGHWAY TO 2 LANE WITH PAVED SHOULDER FROM KM 26.10 TO KM 40.00,NHIDCL,LADAKH,3-2020,6/2022,-,242.97,-,246.91,100.00,RAILWAYS
1289,N24001261,CONSTRUCTION AND UPGRADATION OFEXISTINGROAD TO 2-LANE WITH PAVED SHOULDER INCLUDING GEOMETRIC IMPROV,NHIDCL,LADAKH,8-2020,4/2023,-,311.00,-,257.86,95.12,RAILWAYS
1290,N24001262,CONSTRUCTION AND UPGRADATION OFEXISTINGROAD TO 2-LANE WITH PAVED SHOULDER INCLUDING GEOMETRIC IMPROV,NHIDCL,LADAKH,7-2020,4/2023,Aug-2024,345.38,395.59,362.61,91.24,RAILWAYS
1291,N24001322,CONSTRUCTION OF 2-LANE ROAD WITH PAVED SHOULDER (GREENFIELD ALIGNMENT) OF EXISTING STRETCH BETWEEN L,NHIDCL,LADAKH,9-2020,5/2022,Oct-2023,183.31,439.56,355.31,51.19,RAILWAYS
1292,N24001325,CONSTRUCTION OF 2-LANE SPECIFICATION ROAD WITH PAVED SHOULDER AS REALIGNMENT (GREENFIELD ALIGNMENT),NHIDCL,LADAKH,9-2020,5/2023,Aug-2024,262.84,414.20,221.86,47.57,RAILWAYS
1293,N24001327,REHABILITATION AND UPGRADATION OF EXISTING ROAD TO 2-LANE WITH PAVED SHOULDER INCLUDING GEOMETRIC IM,NHIDCL,LADAKH,8-2020,5/2022,Oct-2023,292.80,-,202.92,60.90,RAILWAYS
1294,N24001336,CONSTRUCTION AND UPGRADATION OF EXISTING ROAD TO 2-LANE WITH PAVED SHOULDER FROM KM27.200 (END OF RO,NHIDCL,LADAKH,8-2020,4/2023,Oct-2024,230.45,244.91,206.95,82.32,RAILWAYS
1295,N24001337,CONSTRUCTION AND UPGRADATION OF EXISTING ROAD TO 2-LANE WITH PAVED SHOULDER FROM NEW ROLEP BRIDGE AT,NHIDCL,LADAKH,10-2020,11/2023,Jul-2025,493.42,478.79,305.20,58.28,RAILWAYS
1296,N24001338,CONSTRUCTION OF 2-LANE WITH PAVED SHOULDER OF NEW GREEN FIELD ALIGNMENT FROM CHOCHENPHERI AT KM 52.0,NHIDCL,LADAKH,10-2020,12/2023,Jun-2025,816.79,786.60,332.24,51.45,RAILWAYS
1297,N24001362,RISHI BORDER- ROLEP- MENLA PKG- 3B,NHIDCL,LADAKH,12-2020,2/2024,Apr-2025,410.60,379.30,234.98,74.58,RAILWAYS
1298,N24001442,CONSTRUCTION OF 2-LANE WITH PAVED SHOULDER GANGTOK BYPASS ROAD FROM RANIPOOL TO BURTUK (L=23.316KM),MoRTH,LADAKH,10-2021,5/2024,Jan-2026,385.15,-,170.32,81.30,RAILWAYS
1299,N04000074,"MODERNIZATION OF CHENNAI AIRPORT PHASE II, CHENNAI",AAI,LADAKH,6-2018,2/2022,Jun-2026,"2,467.00",-,"1,601.60",71.00,"CIVIL
AVIATION"
1300,N04000090,DEVELOPMENT OF TUTICORIN AIRPORT,AAI,LADAKH,6-2019,3/2022,Apr-2025,380.87,451.74,361.57,100.00,"CIVIL
AVIATION"
1301,N06000259,JAWAHAR KHANI OPENCAST (JK OC) MINE,SCCL,LADAKH,12-2021,3/2025,-,297.88,-,46.37,20.00,COAL
1302,N06000279,50 MW SOLAR POWER PROJECT -NEYVELI MINED OUT AREA,NLC,LADAKH,5-2023,6/2025,-,218.03,-,147.99,38.00,COAL
1303,N28000109,CONSTRUCTION OF 726 Nos RESIDENTIAL QUARTERS CHENNAI,CPWD FOR FINANC,LADAKH,11-2017,11/2021,-,348.77,-,223.39,100.00,FINANCE
1304,N10000014,25.5 MW WIND POWER PROJECT AT KAYATHAR IN TAMILNADU,NALCO,LADAKH,9-2017,6/2019,Mar-2024,166.62,163.17,135.63,65.00,MINES
1305,N16000234,IRUGUR-DEVANGONTHI POL PIPELINE,BPCL,LADAKH,11-2012,2/2017,Oct-2025,678.00,"1,732.00",615.48,59.00,MINES
1306,N16000434,CBR 9 MMTPA PROJECT,CPCL,LADAKH,1-2021,6/2025,-,"31,580.00","31,580.00","1,326.17",10.20,MINES
1307,N16000438,"GRASS ROOT POL TERMINAL AT VALLUR, CHENNAI",IOCL,LADAKH,1-2022,7/2024,Jun-2025,827.00,887.71,576.63,85.40,MINES
1308,N16000455,LAYING OF POL PIPELINES IN COMMON CORRIDOR FOR PROPOSED GRASS ROOT TERMINAL AT VALLUR (CHENNAI),IOCL,LADAKH,1-2022,7/2024,May-2026,829.00,-,257.54,59.44,MINES
1309,N16000486,CGD PROJECT AT DHARMAPURI AND KRISHNAGIRI DISTRICTS,IOCL,LADAKH,3-2022,3/2030,-,501.00,-,107.21,5.30,MINES
1310,N16000521,CGD PROJECTS AT THE NILGIRIS AND ERODE DISTRICTS,BPCL,LADAKH,12-2022,3/2030,-,"3,685.00",-,205.14,10.80,MINES
1311,N18000408,TRANSMISSION SYSTEM UNDER ISTS FOR EVACUATION OF POWER FROM KUDANKULAM UNIT - 3 AND 4 (2X1000 MW),PGCIL,LADAKH,1-2025,7/2028,-,548.00,-,0.00,N.A.,POWER
1312,N22000028,"EXTENSION OF MRTS FROM VELACHERY TO STN. THOMAS, MTP",MRTP,LADAKH,4-2006,7/2024,May-2025,734.01,734.01,632.33,98.00,RAILWAYS
1313,N22000085,TIDIVANAM-NAGARI (NL),SR,LADAKH,9-2006,9/2016,Mar-2028,"3,631.34","3,631.34",873.31,15.00,RAILWAYS
1314,N22000568,CHENNAI BEACH-CHENNAI EGMORE (4.3 KM) (UMBRELLA WORK PB#57/2019-20/NR),SR,LADAKH,3-2022,3/2026,Feb-2025,359.60,274.20,302.11,95.00,RAILWAYS
1315,N22000618,MORAPPUR-DHARMAPURI,SR,LADAKH,2-2019,3/2028,Mar-2028,358.95,-,40.09,1.00,RAILWAYS
1316,N22000625,KARAIKAL PERALAM(23KM)-NEW LINE PROJECT,SR,LADAKH,1-2019,3/2026,Mar-2025,304.22,-,282.58,97.00,RAILWAYS
1317,N22000626,NAGAPATTINAM THIRUTURAIPUNDI (38KM)- NEW LINE PROJECT,SR,LADAKH,7-2008,3/2026,Mar-2027,677.12,-,144.28,19.00,RAILWAYS
1318,N24000697,FOUR LANNING OF CHOLOPURAM- THANJAVUR,NHAI,LADAKH,8-2017,9/2020,-,"1,176.37",-,"1,325.06",99.50,RAILWAYS
1319,N24000708,4-LANNING OF STHIYATHOPU- CHOLOPURAM,NHAI,LADAKH,9-2017,8/2020,May-2025,"1,227.87",-,"1,436.16",98.12,RAILWAYS
1320,N24000826,FOUR LANINIG OF CHETTIKULAM TO NATHAM SECTION OF NH-785 FROM CHETTIKULUM (KM 7.300) TO NATHAM (KM. 3,NHAI,LADAKH,3-2018,10/2022,Jun-2025,505.35,-,376.61,99.75,RAILWAYS
1321,N24001429,FOUR LANING OF PUDUCHERRY (KM.29/000) TO POONDIYANKUPPAM (KM.67/000) SECTION OF NH-45A ON HAM UNDER,NHAI,LADAKH,3-2018,11/2021,Jun-2025,"1,294.47","1,588.40",865.95,98.72,RAILWAYS
1322,N24001431,FOUR LANING OF SATTANATHAPURAM (KM.123/800) TO NAGAPATTINAM (KM.179/555) SECTION OF NH-45A ON HAM UN,NHAI,LADAKH,3-2018,10/2020,Jan-2026,"1,872.68","2,899.77","1,301.78",63.50,RAILWAYS
1323,N24001455,CONSTRUCTION OF 4 LANE WITH PAVED SHOULDERS THIRUVAYARU BYPASS IN BETWEEN EXISTING KM.55/926 TO 62/6,MoRTH,LADAKH,2-2022,8/2022,-,191.33,207.97,100.42,100.00,RAILWAYS
1324,N24001600,BALANCE WORK 2-LANE WITH PAVED SHOULDERS OF NAGAPATTINAM - THANJAVUR SECTION OF NH-67 (NEW NH- 83),NHAI,LADAKH,10-2020,5/2023,Jun-2025,434.12,-,268.92,100.00,RAILWAYS
1325,N24001601,4-LANING OF KAMALAPURAM - ODDANCHATRAM SECTION OF NH-209,NHAI,LADAKH,1-2019,1/2023,Jun-2025,"1,051.69",-,588.17,81.69,RAILWAYS
1326,N24001602,4-LANING OF MADATHUKULAM - POLLACHI SECTION OF NH-209 (NEW NH-83),NHAI,LADAKH,1-2019,12/2022,Nov-2025,"1,409.38",-,659.50,91.09,RAILWAYS
1327,N24001603,4-LANING OF ODDANCHATRAM - MADATHUKULAM SECTION OF NH-209 (NEW NH-83),NHAI,LADAKH,1-2019,10/2022,Jun-2025,"1,518.53",-,915.40,100.00,RAILWAYS
1328,N24001605,"4-LANING OF MELUR - PILLAYARPATTI - KARAIKUDI SECTION OF NH-338, NH-36, NH- 383",NHAI,LADAKH,6-2018,3/2022,-,"1,103.86",-,568.15,84.25,RAILWAYS
1329,N24001606,4-LANING OF VADIPPATTI - THAMARAIPATTI SECTION OF NH-744A (MADURAI RING ROAD),NHAI,LADAKH,12-2018,3/2022,Sep-2025,854.94,-,400.13,77.21,RAILWAYS
1330,N24001692,BALANCE WORKS OF FOUR LANE FROM KM 43+950 (THIRUVALLUR BYPASS) TO KM 61+470 (VEPPAMPATTU BYPASS) PAS,NHAI,LADAKH,1-2022,9/2024,Feb-2025,467.99,-,71.05,80.92,RAILWAYS
1331,N24001693,FOUR LANING OF NERALURU TO THORAPALLI AGRAHARAM SECTION OF NH- 844 (PKG-I) FROM KM.0+000 TO KM.23+350,NHAI,LADAKH,9-2021,10/2024,-,"1,751.18",-,49.69,N.A.,RAILWAYS
1332,N24001694,FOUR LANING OF THORAPALLI AGRAHARAM TO JITTANDAHALLI SECTION OF NH-844 (PKG-II) FROM KM.23+350 TO KM,NHAI,LADAKH,2-2019,12/2023,Dec-2024,"1,243.57",-,171.63,N.A.,RAILWAYS
1333,N24001696,FOUR LANING OF JITTANDAHALLI TO DHARMAPURI SECTION OF NH-844 (PKG-III) FROM KM.60+100 TO KM.94+460,NHAI,LADAKH,2-2019,8/2023,Dec-2024,"1,291.37",-,215.02,N.A.,RAILWAYS
1334,N24001716,THOPPUR METTUR BHAVANI ERODE SECTION OF NH 544H FOR A LENGTH OF 85 KM,NHAI,LADAKH,7-2022,8/2023,Dec-2024,186.50,242.40,17.15,100.00,RAILWAYS
1335,N24001717,BANGALORE CHENNAI EXPRESSWAY PHASE-III PACKAGE III (ARAKKONAM TO KANCHEEPURAM) FROM KM 204.500 TO K,NHAI,LADAKH,11-2020,8/2024,-,"1,155.49","1,525.10",489.94,53.56,RAILWAYS
1336,N24001718,BANGALORE CHENNAI EXPRESSWAY PHASE-III PACKAGE II (WALAJAHPET TO ARAKKONAM) FROM KM 180.000 TO KM 2,NHAI,LADAKH,12-2020,7/2024,-,843.48,"1,077.40",434.49,90.62,RAILWAYS
1337,N24001719,4L BANGALORE-CHENNAI EXPRESSWAY FROM KM. 230.000 TO KM. 261.705 OF KANCHEPURAM TO SRIPERUMBUDUR SECT,NHAI,LADAKH,2-2021,7/2024,-,"2,948.31","3,605.73",813.96,76.32,RAILWAYS
1338,N24001720,BANGALORE CHENNAI EXPRESSWAY PHASE-III ? PACKAGE I (GUDIPALA TO WALAJAJHPET) FROM KM 156.000 TO KM 1,NHAI,LADAKH,10-2020,5/2024,-,"1,023.91","1,438.62",635.04,84.49,RAILWAYS
1339,N24001721,FOUR LANING OF MAMALLAPURAM TO MUGAIYUR SECTION OF NH332A FROM KM 0.000 TO KM 31.000,NHAI,LADAKH,2-2019,5/2024,Aug-2025,"1,008.99","1,360.53",324.81,48.10,RAILWAYS
1340,N24001722,6L OF MADURAVOYAL TO SRIPERUMBUDUR SECTION FROM KM. 13.800 TO KM. 37.000 OF NH-4 THROUGH STATE HIGH,NHAI,LADAKH,11-2021,2/2023,-,463.44,463.07,334.80,99.00,RAILWAYS
1341,N24001723,KARAIPETTAI TO WALAJAPET FROM KM 71.015 TO 107.091,NHAI,LADAKH,10-2018,2/2021,-,707.90,766.51,526.39,90.06,RAILWAYS
1342,N24001725,6L OF SRIPERUMBUDUR TO KARAIPETTAI FROM KM 37.000 TO KM 71.015 OF NH 48,NHAI,LADAKH,1-2019,5/2021,-,819.89,"1,314.82",415.60,57.32,RAILWAYS
1343,N24001828,CONSTRUCTION OF BYPASS TO GUDIYATHAM TOWN IN KM 23/100 ? 29/250 INCLUDING LA AND SHIFTING OF NH-234,MoRTH,LADAKH,1-2022,11/2024,-,221.03,243.95,176.50,100.00,RAILWAYS
1344,N24001829,FOUR LANING OF OTTANCHATRAM TO PALANI SECTION FROM KM 30/700 TO KM 55/000 OF NH 209(NEW NH-83) INCLU,MoRTH,LADAKH,10-2022,11/2024,-,172.15,-,157.48,100.00,RAILWAYS
1345,N24001968,CONSTRUCTION OF STRR (WEST SIDE)- NH948A-BALAGONDAPALLI (TAMIL NADU) TO KARNATAKA/TAMIL NADU BORDER F,NHAI,LADAKH,4-2022,5/2025,-,"1,260.74",-,487.46,44.95,RAILWAYS
1346,N24002084,4L OF THIRUMANGALAM TO VADUGAPATTI SECTION FROM KM 0.000 TO KM 36.000 OF NH-744,NHAI,LADAKH,3-2022,2/2025,-,"1,076.97",-,540.46,87.30,RAILWAYS
1347,N24002107,CONSTRUCTION OF NEW DOUBLE TIER 4 LANE ELEVATED CORRIDOR FROM CHENNAI PORT TO MADURAVOYAL IN CHENNAI,NHAI,LADAKH,3-2023,5/2026,-,"1,382.00",-,0.00,N.A.,RAILWAYS
1348,N24002108,CONSTRUCTION OF NEW DOUBLE TIER 4L ELEVATED CORRIDOR FROM CHENNAI PORT TO MADURAVOYAL IN CHENNAI DIS,NHAI,LADAKH,3-2023,5/2026,-,"1,618.96",-,0.00,N.A.,RAILWAYS
1349,N24002109,CONSTRUCTION OF NEW DOUBLE TIER 4L ELEVATED CORRIDOR FROM CHENNAI PORT TO MADURAVOYAL IN CHENNAI DIS,NHAI,LADAKH,3-2023,5/2026,-,"1,301.37",-,0.00,N.A.,RAILWAYS
1350,N24002110,CONSTRUCTION OF NEW DOUBLE TIER 4L ELEVATED CORRIDOR FROM CHENNAI PORT TO MADURAVOYAL IN CHENNAI DIS,NHAI,LADAKH,3-2023,5/2026,-,"1,207.40",-,0.00,N.A.,RAILWAYS
1351,N24002111,FOUR LANING OF MUGAIYUR TO MARAKKANAM SECTION OF NH-332A FROM KM 31.000 TO KM 62.000,NHAI,LADAKH,2-2019,12/2025,May-2026,825.94,"1,116.13",327.75,38.39,RAILWAYS
1352,N24002112,SIX LANING OF TUTICORIN PORT ROAD SECTION OF NH-7A (NEW NH-138) FROM KM 0.000 TO KM 6.140 [EFFECTIVE,NHAI,LADAKH,3-2023,7/2024,-,200.30,-,109.38,83.35,RAILWAYS
1353,N24002113,4L OF LEFT-OVER WORKS INCLUDING ADDITIONAL STRUCTURES FROM KERALA/TAMIL NADU BORDER TO KANYAKUMARI S,NHAI,LADAKH,3-2023,8/2025,-,"1,141.78",-,439.12,44.75,RAILWAYS
1354,N24002114,4L OF VADUGAPATTI TO THERKUVENGANALLUR (RAJAPALYAM) SECTION FROM KM 36.000 TO KM 71.600 OF NH744 UND,NHAI,LADAKH,2-2022,4/2025,-,"1,097.59",-,689.69,96.00,RAILWAYS
1355,N24002151,WIDENING TO 4L/4L+PS AND STRENGTHENING IN SELECTED STRETCHES FROM KM 0/8 TO 50/570 OF NH 532 INCLUD,MoRTH,LADAKH,3-2022,1/2024,-,257.14,294.70,251.25,90.00,RAILWAYS
1356,N24002152,WIDENING FROM 2L+PS TO 4L/4L+PS AND IMPROVEMENTS THE SELECTED STRETHCES FROM KM 26/5 - 81/2 INCLU,MoRTH,LADAKH,3-2023,11/2023,-,274.84,-,243.81,100.00,RAILWAYS
1357,N24002153,"STRENGTHENING OF 2L+PS FROM KM 17/8 ? 18/2, CONSTRUCTION OF 2L+PS FROM KM 18/2 TO KM 20/0 AND CONSTR",MoRTH,LADAKH,3-2023,2/2024,-,169.68,-,112.18,79.00,RAILWAYS
1358,N24002165,CONSTRUCTION OF BYPASS TO MADURAI - ACHAMBATHU - VIRATIPATHU IN KM 6/850 - 10/382 OF NH 49 EXTN. (NE,MoRTH,LADAKH,3-2022,8/2026,-,238.97,260.07,108.95,48.00,RAILWAYS
1359,N24002216,ACCESS CONTROLLED HIGHWAY OF 4 LANE WITH PAVED SHOULDERS FROM TIRUVALLUR (DESIGN CHAINAGE KM 17+56),NHAI,LADAKH,12-2024,12/2026,-,"1,376.10",-,0.00,7.03,RAILWAYS
1360,N06000161,KAKATIYAKHANI OPENCAST III PROJECT PHASE-1,SCCL,LADAKH,3-2017,3/2022,-,413.84,-,397.54,85.00,RAILWAYS
1361,N06000202,GODAVARIKHANI COAL MINE,SCCL,LADAKH,7-2019,3/2023,-,438.98,-,171.96,70.00,RAILWAYS
1362,N06000204,VENKATESH KHANI COAL MINE,SCCL,LADAKH,10-2020,3/2023,-,484.51,-,318.12,55.00,RAILWAYS
1363,N06000210,RCE OF RAMAGUNDAM OPENCAST II EXTENSION PROJECT,SCCL,LADAKH,11-2015,3/2023,-,489.62,-,405.54,70.00,RAILWAYS
1364,N06000211,RCE OF INDARAM OPENCAST PROJECT,SCCL,LADAKH,8-2017,3/2021,-,349.28,-,402.64,80.00,RAILWAYS
1365,N06000213,RCE OF KALYANIKHANI OPENCAST PROJECT,SCCL,LADAKH,3-2016,3/2020,-,384.32,-,260.96,75.00,RAILWAYS
1366,N06000214,RCE OF KAKATHIYAKHANI OC - 2 PROJECT,SCCL,LADAKH,8-2017,3/2020,-,442.42,-,203.00,63.00,RAILWAYS
1367,N06000258,GOLETI OPENCAST MINE,SCCL,LADAKH,7-2021,3/2026,-,345.60,-,68.47,20.00,RAILWAYS
1368,N21000031,"COMPREHENSIVE PLANNING, DESIGNING, EXECUTION OF ALL INDIA INSTITUTE OF MEDICAL SCIENCES AT BIBINAGAR",HITES,LADAKH,12-2018,7/2024,-,"1,110.55",-,743.76,82.04,"HEALTH AND
FAMILY
WELFARE"
1369,N28000098,ESTABLISHMENT OF NATIONAL ANIMAL RESOURCE FACILITY FOR BIOMEDICAL RESEARCH AT HYDERABAD,CPWD FOR HEALTH,LADAKH,10-2016,3/2020,Jan-2025,209.84,281.05,253.13,98.50,"HEALTH AND
FAMILY
WELFARE"
1370,N22000032,MANOHARABAD-KOTHPALL NEW LINE(SCR),SCR,LADAKH,4-2006,3/2027,-,"1,160.00",-,"1,535.65",N.A.,RAILWAYS
1371,N24000245,REHABILITATION AND UPGRADATION OF NH -565 FROM KM 1.00 TO 86.057 (NAKREKAL TO NAGARJUNSAGAR DAM SECT,MoRTH,LADAKH,1-2014,3/2016,Sep-2019,270.00,-,0.00,72.15,RAILWAYS
1372,N24000247,REHABILITATION AND UPGRADATION OF NH-221 FROM KM 121/0 TO 165/00 (OF VIJAYAWADA-JAGDALPUR RUDRAMPUR,MoRTH,LADAKH,10-2014,2/2017,-,295.47,-,224.42,98.15,RAILWAYS
1373,N24000248,EPC- CORRIDOR APPROACH WORKS - NH (O): WIDENING EXISTING 2 LANE TO 2 LANE WITH PAVED SHOULDERS IN KM,MoRTH,LADAKH,3-2015,1/2017,-,153.21,-,100.96,93.81,RAILWAYS
1374,N24000980,WIDEINING TO TWO/FOUR LANE WITH PAVED SHOULDERS FROM EXISTING KM 182.120 TO KM 227.600 OF NH-167 ON,MoRTH,LADAKH,10-2016,2/2019,-,298.32,-,178.47,98.00,RAILWAYS
1375,N24000981,WIDEINING TO TWO/FOUR LANE WITH PAVED SHOULDERS FROM EXISTING KM 180.60 TO KM 223.00 OF NH-63 ON NIZ,MoRTH,LADAKH,10-2016,3/2019,-,248.83,-,173.79,100.00,RAILWAYS
1376,N24000982,WIDENING TO TWO LANE WITH PAVED SHOULDERS FROM KM 40/410 TO KM 84/037OF THIRUMALAGIRI TO SURYAPET SE,MoRTH,LADAKH,1-2017,5/2019,-,244.54,-,174.35,100.00,RAILWAYS
1377,N24000983,WIDENING TO TWO LANE WITH PAVED SHOULDERS FROM KM 0/970 TO KM 40/410 OF JANAGAON-THIRUMALAGIRI OF NH,MoRTH,LADAKH,1-2017,10/2019,-,196.52,-,125.53,100.00,RAILWAYS
1378,N24000984,WIDENING TO TWO LANE WITH PAVED SHOULDERS FROM KM 15.525 TO KM 62.880 OF JADCHERLA-KALWAKURTHY SECTI,MoRTH,LADAKH,1-2017,12/2019,-,283.00,-,259.15,100.00,RAILWAYS
1379,N24000986,WIDENING TO TWO LANE WITH PAVED SHOULDERS FROM KM 67.00 TO 114.425 OF KALWAKURTHY-MALLEPALLY SECTION,MoRTH,LADAKH,1-2017,5/2019,-,300.00,-,239.93,96.05,RAILWAYS
1380,N24000987,6 LANING FROM KM 9.90 TO KM 19.948 (ARAMGARH-SAMSHABAD SECTION) OF HYDERABAD-SAMSHABAD SECTION OF NH,MoRTH,LADAKH,1-2018,5/2020,-,283.15,-,270.01,92.59,RAILWAYS
1381,N24000988,WIDENING AND STRENGTHENING OF EXISTING 2-LANE TO 2-LANE WITH PAVED SHOULDERS FROM KM.159/0 TO 165/4,MoRTH,LADAKH,1-2018,12/2019,-,230.03,-,231.31,99.90,RAILWAYS
1382,N24000989,WIDENING AND STRENGTHENING OF EXISTING CARRIAGEWAY IN 2 LANE WITH PAVED SHOULDERS FROM KM.25/0 TO 59,MoRTH,LADAKH,2-2018,6/2020,-,206.13,-,190.94,98.36,RAILWAYS
1383,N24000990,REHABILITATION AND UPGRADATION OF NH-167 FROM DESIGN KM.113.900 TO 154.479 (MALLEPALLY - HALIYA SECT,MoRTH,LADAKH,2-2018,11/2019,-,294.13,-,198.75,87.44,RAILWAYS
1384,N24000993,REHABILITATION AND UPGRADATION OF NH-167 FROM DESIGN KM.187.723 TO 234.434 (MIRYALAGUDA TO KODAD SEC,MoRTH,LADAKH,3-2018,9/2020,-,322.81,-,315.23,98.09,RAILWAYS
